beds,bathrooms,Price_Night,Cleanliness_rating,Accuracy_rating,Communication_rating,Location_rating,Check-in_rating,Value_rating,amenities_count
1.0,1.0,45,5.0,5.0,5.0,4.9,5.0,4.9,44.0
5.0,1.5,116,4.8,4.9,4.8,4.9,4.9,4.8,39.0
2.0,1.0,143,4.8,5.0,4.9,4.9,5.0,4.7,25.0
1.0,1.0,105,5.0,5.0,5.0,4.9,5.0,4.8,48.0
2.0,2.0,131,5.0,4.9,5.0,5.0,5.0,4.9,32.0
2.0,1.0,138,4.6,4.9,5.0,5.0,5.0,4.8,26.0
3.0,1.0,59,5.0,5.0,5.0,4.9,5.0,4.9,25.0
2.0,1.0,88,4.7,4.9,5.0,4.9,5.0,4.7,41.0
3.0,1.0,61,4.8,4.9,5.0,4.9,5.0,4.8,36.0
4.0,2.0,249,4.9,5.0,5.0,5.0,5.0,4.8,37.0
1.0,1.0,75,5.0,4.9,5.0,5.0,5.0,4.9,41.0
1.0,1.0,72,5.0,5.0,5.0,5.0,5.0,5.0,33.0
2.0,1.0,120,4.9,5.0,5.0,4.9,5.0,4.9,35.0
2.0,1.0,104,5.0,5.0,5.0,5.0,5.0,4.9,28.0
5.0,1.0,550,4.8,5.0,5.0,5.0,5.0,4.7,34.0
1.0,1.0,81,5.0,5.0,5.0,4.9,5.0,4.8,38.0
5.0,2.0,228,4.9,5.0,5.0,4.9,5.0,4.8,24.0
2.0,1.0,70,5.0,4.9,5.0,4.9,5.0,4.8,23.0
2.0,1.5,108,5.0,5.0,5.0,5.0,5.0,4.9,47.0
1.0,1.0,66,5.0,5.0,5.0,4.8,4.9,4.9,38.0
3.0,1.0,144,5.0,5.0,5.0,5.0,5.0,4.9,47.0
1.0,1.0,135,5.0,5.0,5.0,5.0,5.0,4.9,51.0
1.0,1.0,75,5.0,5.0,5.0,5.0,5.0,4.9,33.0
1.0,1.0,81,4.9,5.0,5.0,4.9,5.0,4.8,23.0
3.0,1.5,187,5.0,5.0,5.0,5.0,5.0,4.8,30.0
1.0,1.5,107,4.6,4.7,5.0,5.0,5.0,4.6,30.0
2.0,1.0,108,4.7,4.8,4.9,4.9,5.0,4.8,36.0
3.0,1.0,120,5.0,5.0,5.0,4.9,5.0,4.9,34.0
3.0,1.5,93,5.0,4.9,5.0,4.9,5.0,4.8,30.0
1.0,1.5,78,4.9,5.0,5.0,5.0,5.0,4.9,47.0
3.0,1.0,105,5.0,5.0,5.0,4.9,5.0,4.8,39.0
1.0,1.0,92,4.9,5.0,4.9,5.0,5.0,4.9,19.0
1.0,1.0,66,5.0,5.0,5.0,4.8,5.0,4.9,49.0
2.0,1.0,64,4.8,4.8,4.9,4.9,4.8,4.6,39.0
